"(PDH-CSV 4.0) (Mitteleuropäische Zeit)(-60)","\\DJ-TESLA\Arbeitsspeicher\Zugesicherte verwendete Bytes (%)","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%)","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Physikalischer Datenträger(0 C:)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datenträger(_Total)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datenträger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datenträger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%)"
"01/07/2023 14:52:36.144","34.660647025951334399","0","2.374267578125"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"01/07/2023 14:52:37.147","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.94281598355274809","0","0","0","0","0","0"," "," "," "," ","0","131.94281598355274809","0","0","8188.45112528230311","8188.45112528230311","1.9075988763929574432","9.6927100766792335662","9.6927100766792335662","5.0216433565074662937","6.5786655965647256039"
"01/07/2023 14:52:38.150","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","355.78953285133320605","0","0","0","0","0","0"," "," "," "," ","0","355.78953285133320605","0","0","138791.80252943435335","138791.80252943435335","0.32747408389734999901","0.32747408389734999901","1.8848573013364622319","0.32747408389734999901","0.71682487188342580708"
"01/07/2023 14:52:39.154","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.51228668482931994","0","0","0","0","0","0"," "," "," "," ","0","131.51228668482931994","0","0","12242.59832411502066","12242.59832411502066","6.5963593801465432165","1.926177349153868068","6.5963593801465432165","3.4829046928180895648","4.6504452190387564059"
"01/07/2023 14:52:40.158","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.51341352131248641","0","0","0","0","0","0"," "," "," "," ","0","131.51341352131248641","0","0","28566.307518811150658","28566.307518811150658","0","0","1.9259721545978436552","0.36924155387717538801","0"
"01/07/2023 14:52:41.146","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.58695964580834925","0","0","0","0","0","0"," "," "," "," ","0","133.58695964580834925","0","0","16580.975354825182876","16580.975354825182876","0.38137173396374235423","1.9626198016786000622","1.9626198016786000622","0.38137173396374235423","1.1719957678211767593"
"01/07/2023 14:52:42.150","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.50462208859227076","0","0","0","0","0","0"," "," "," "," ","0","131.50462208859227076","0","0","8161.2565465889983898","8161.2565465889983898","0.37497861797978204734","0.37497861797978204734","0.37497861797978204734","0.37497861797978204734","0.37497861797978204734"
"01/07/2023 14:52:43.153","34.660647025951334399","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.50096698040607635","0","0","0","0","0","0"," "," "," "," ","0","131.50096698040607635","0","0","12241.54456253961871","12241.54456253961871","0.3752763714364393266","0","0.3752763714364393266","0.3752763714364393266","0"
"01/07/2023 14:52:44.157","34.660405417592357935","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.55631317817528725","0","0","0","0","0","0"," "," "," "," ","0","131.55631317817528725","0","0","8164.4645269364536944","8164.4645269364536944","0.33836122978874172418","0.33836122978874172418","0.33836122978874172418","0.33836122978874172418","0.33836122978874172418"
"01/07/2023 14:52:45.161","34.659680545949299812","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.50415045031206773","0","0","0","0","0","0"," "," "," "," ","0","131.50415045031206773","0","0","8161.2272764314875531","8161.2272764314875531","0.37222927697536656311","0.37222927697536656311","0","3.4855971120698825416","0.76140523775071189405"
"01/07/2023 14:52:46.149","34.402956472337933747","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.61044679839508831","0","0","0","0","0","0"," "," "," "," ","0","133.61044679839508831","0","0","99503.343652041148744","99503.343652041148744","5.1101162940049960071","11.436108541071332567","6.6916143557715805912","11.436108541071332567","8.6684818721860068536"
"01/07/2023 14:52:47.152","34.396110506354851566","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.51730518650450108","0","0","0","0","0","0"," "," "," "," ","0","131.51730518650450108","0","0","20405.109168330393004","20405.109168330393004","5.036084046291278149","5.036084046291278149","5.036084046291278149","0.36572752397773244937","3.8684998974265139005"
"01/07/2023 14:52:48.156","34.391841835899242596","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.50832980734926991","0","0","0","0","0","0"," "," "," "," ","0","131.50832980734926991","0","0","241273.94908655012841","241273.94908655012841","0.36959889896450714986","0.36959889896450714986","1.9263239161681933176","1.9263239161681933176","1.1479614075663557848"
"01/07/2023 14:52:49.160","34.391801579480947737","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.52480089436863864","0","0","0","0","0","0"," "," "," "," ","0","131.52480089436863864","0","0","89787.597410555652459","89787.597410555652459","0","3.4734511885544328003","1.9165713690149965842","1.9165713690149965842","1.5273464321147067757"
"01/07/2023 14:52:50.163","34.39079481977754682","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.55797834854672601","0","0","0","0","0","0"," "," "," "," ","0","131.55797834854672601","0","0","86748.533601950810407","86748.533601950810407","1.8913601607411956174","1.8913601607411956174","0.33408016329263823252","1.8913601607411956174","1.5020451446750460178"
"01/07/2023 14:52:51.167","34.385599925738205229","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.52321519260527793","0","0","0","0","0","0"," "," "," "," ","0","131.52321519260527793","0","0","20406.026114731484995","20406.026114731484995","0.36455612559207484225","5.0349675572049390482","0.36455612559207484225","0.36455612559207484225","1.5321540017230961261"
"01/07/2023 14:52:52.170","34.340738652819005949","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.54564135476064735","0","0","0","0","0","0"," "," "," "," ","0","131.54564135476064735","0","0","8163.8022271075697063","8163.8022271075697063","1.909084631272328636","12.808075227797621309","0.35208597462585977667","1.909084631272328636","4.244582616242031925"
