Zeit;Wert 1-avg[W]
2023-01-07 14:52:32.505404; 31.084209
2023-01-07 14:52:33.519309; 30.950304
2023-01-07 14:52:34.519494; 30.950304
2023-01-07 14:52:35.530686; 31.033728
2023-01-07 14:52:36.543972; 46.728105
2023-01-07 14:52:37.558357; 37.3512
2023-01-07 14:52:38.575011; 31.252005
2023-01-07 14:52:39.581150; 31.859673
2023-01-07 14:52:40.582790; 31.81725
2023-01-07 14:52:41.591749; 31.386384
2023-01-07 14:52:42.607408; 31.168107
2023-01-07 14:52:43.621782; 31.168107
2023-01-07 14:52:44.640814; 31.084209
2023-01-07 14:52:45.643075; 31.605135
2023-01-07 14:52:46.654041; 34.6731
2023-01-07 14:52:47.658082; 31.647558
2023-01-07 14:52:48.658724; 31.95234
2023-01-07 14:52:49.659004; 31.94496
2023-01-07 14:52:50.666366; 31.767488
2023-01-07 14:52:51.681266; 31.421984
2023-01-07 14:52:52.698183; 35.95527
2023-01-07 14:52:53.706405; 44.545572
2023-01-07 14:52:54.721691; 31.725244
2023-01-07 14:52:55.723539; 31.859673
2023-01-07 14:52:56.731200; 32.12298
2023-01-07 14:52:57.736095; 31.902096
2023-01-07 14:52:58.741178; 37.676838
2023-01-07 14:52:59.745579; 32.344338
2023-01-07 14:53:00.746382; 31.252005
2023-01-07 14:53:01.755019; 46.901115
2023-01-07 14:53:02.755707; 50.928219
2023-01-07 14:53:03.769393; 47.598132
2023-01-07 14:53:04.771071; 56.455533
2023-01-07 14:53:05.787178; 51.3105
2023-01-07 14:53:06.799939; 51.3105
2023-01-07 14:53:07.805230; 49.993965
2023-01-07 14:53:08.808954; 50.782464
2023-01-07 14:53:09.816571; 50.256324
2023-01-07 14:53:10.830060; 49.789908
2023-01-07 14:53:11.840915; 50.372928
2023-01-07 14:53:12.857768; 50.84124
2023-01-07 14:53:13.872063; 50.314626
2023-01-07 14:53:14.872566; 49.993965
2023-01-07 14:53:15.897519; 62.509792
2023-01-07 14:53:16.909540; 50.84124
2023-01-07 14:53:17.928720; 53.50275
2023-01-07 14:53:18.934848; 51.95988
2023-01-07 14:53:19.940432; 46.950885
2023-01-07 14:53:20.945699; 54.621864
2023-01-07 14:53:21.962650; 31.774827
2023-01-07 14:53:22.979036; 31.555128
2023-01-07 14:53:23.999451; 32.12298
2023-01-07 14:53:25.014998; 31.252005
2023-01-07 14:53:26.020225; 31.033728
2023-01-07 14:53:27.038547; 31.774827
2023-01-07 14:53:28.052512; 31.512942
2023-01-07 14:53:29.056421; 31.859673
2023-01-07 14:53:30.059938; 31.555128
2023-01-07 14:53:31.064757; 31.6395
2023-01-07 14:53:32.071077; 31.859673
2023-01-07 14:53:33.075802; 31.341744
2023-01-07 14:53:34.089704; 31.122784
2023-01-07 14:53:35.097537; 32.25852
2023-01-07 14:53:36.111841; 31.512942
2023-01-07 14:53:37.118924; 31.859673
2023-01-07 14:53:38.126744; 31.6395
2023-01-07 14:53:39.131017; 32.2083
2023-01-07 14:53:40.149210; 31.42857
2023-01-07 14:53:41.161945; 31.210056
2023-01-07 14:53:42.184235; 31.335903
2023-01-07 14:53:43.202573; 31.168107
2023-01-07 14:53:44.203539; 31.732404
2023-01-07 14:53:45.217747; 31.774827
2023-01-07 14:53:46.230683; 31.605135
2023-01-07 14:53:47.237275; 31.42857
2023-01-07 14:53:48.247477; 31.084209
2023-01-07 14:53:49.247841; 30.992016
2023-01-07 14:53:50.252462; 31.168107
2023-01-07 14:53:51.259326; 31.126158
2023-01-07 14:53:52.268250; 31.732404
2023-01-07 14:53:53.268376; 31.732404
2023-01-07 14:53:54.282607; 31.470756
2023-01-07 14:53:55.295202; 31.470756
2023-01-07 14:53:56.312914; 31.293954
2023-01-07 14:53:57.327028; 31.252005
2023-01-07 14:53:58.342955; 31.168107
2023-01-07 14:53:59.355389; 30.992016
2023-01-07 14:54:00.356850; 32.08032
2023-01-07 14:54:01.364415; 32.12298
2023-01-07 14:54:02.369668; 31.512942
2023-01-07 14:54:03.376087; 31.42857
2023-01-07 14:54:04.379958; 31.252005
2023-01-07 14:54:05.385256; 31.341744
2023-01-07 14:54:06.385511; 31.688272
2023-01-07 14:54:07.399118; 31.080896
2023-01-07 14:54:08.401288; 31.81725
2023-01-07 14:54:09.406656; 31.555128
2023-01-07 14:54:10.412118; 31.512942
2023-01-07 14:54:11.416712; 31.597314
2023-01-07 14:54:12.419373; 31.210056
2023-01-07 14:54:13.428804; 32.56617
2023-01-07 14:54:14.440242; 31.168107
2023-01-07 14:54:15.448681; 31.555128
2023-01-07 14:54:16.462468; 31.81725
2023-01-07 14:54:17.479149; 31.732404
2023-01-07 14:54:18.483977; 31.555128
2023-01-07 14:54:19.503460; 32.08032
2023-01-07 14:54:20.517959; 31.335903
2023-01-07 14:54:21.534643; 59.214924
2023-01-07 14:54:22.535199; 52.37226
2023-01-07 14:54:23.550216; 50.723688
2023-01-07 14:54:24.567797; 46.882629
2023-01-07 14:54:25.582785; 46.827408
2023-01-07 14:54:26.594246; 46.772187
2023-01-07 14:54:27.609738; 50.05203
2023-01-07 14:54:28.626014; 50.577696
2023-01-07 14:54:29.641989; 50.577696
2023-01-07 14:54:30.654570; 47.22936
2023-01-07 14:54:31.659354; 48.892152
2023-01-07 14:54:32.668130; 48.114318
2023-01-07 14:54:33.680356; 50.044272
2023-01-07 14:54:34.697779; 50.83086
2023-01-07 14:54:35.703726; 48.887872
2023-01-07 14:54:36.715648; 47.798968
2023-01-07 14:54:37.728358; 47.430336
2023-01-07 14:54:38.730969; 50.772096
2023-01-07 14:54:39.738880; 49.993965
2023-01-07 14:54:40.749898; 51.3105
2023-01-07 14:54:41.750468; 48.114318
2023-01-07 14:54:42.765835; 48.001506
2023-01-07 14:54:43.776210; 47.799819
2023-01-07 14:54:44.780053; 50.519157
2023-01-07 14:54:45.788145; 50.256324
2023-01-07 14:54:46.802319; 50.372928
2023-01-07 14:54:47.819873; 46.626432
2023-01-07 14:54:48.832551; 48.429765
2023-01-07 14:54:49.846088; 51.36975
2023-01-07 14:54:50.859203; 50.782464
2023-01-07 14:54:51.863727; 51.164271
2023-01-07 14:54:52.867885; 47.5422
2023-01-07 14:54:53.878102; 46.315962
2023-01-07 14:54:54.890175; 46.06602
2023-01-07 14:54:55.907824; 49.31928
2023-01-07 14:54:56.913264; 51.153
2023-01-07 14:54:57.930602; 50.62672
2023-01-07 14:54:58.938360; 47.25192
2023-01-07 14:54:59.957106; 46.484448
2023-01-07 14:55:00.977452; 49.059208
2023-01-07 14:55:01.982534; 50.21844
2023-01-07 14:55:02.984317; 49.376628
2023-01-07 14:55:03.988799; 48.22542
2023-01-07 14:55:04.989774; 47.709996
2023-01-07 14:55:05.996437; 46.885176
2023-01-07 14:55:07.016306; 50.160384
2023-01-07 14:55:08.027038; 49.376628
2023-01-07 14:55:09.033483; 49.31928
2023-01-07 14:55:10.045922; 46.574836
2023-01-07 14:55:11.062264; 46.06602
2023-01-07 14:55:12.078425; 47.083842
2023-01-07 14:55:13.086702; 49.701033
2023-01-07 14:55:14.094442; 49.73208
2023-01-07 14:55:15.102772; 47.285055
2023-01-07 14:55:16.107112; 46.46148
2023-01-07 14:55:17.113353; 47.285055
2023-01-07 14:55:18.129656; 32.3505
2023-01-07 14:55:19.132879; 33.005331
2023-01-07 14:55:20.148870; 31.470756
2023-01-07 14:55:21.160452; 31.766058
2023-01-07 14:55:22.161011; 32.473029
2023-01-07 14:55:23.171261; 32.08032
2023-01-07 14:55:24.184098; 31.902096
2023-01-07 14:55:25.205798; 31.732404
2023-01-07 14:55:26.211052; 32.344338
2023-01-07 14:55:27.223994; 31.555128
2023-01-07 14:55:28.237083; 31.555128
2023-01-07 14:55:29.238773; 31.944519
2023-01-07 14:55:30.239405; 31.859673
2023-01-07 14:55:31.258992; 32.430132
2023-01-07 14:55:32.276421; 31.597314
2023-01-07 14:55:33.291721; 31.512942
2023-01-07 14:55:34.294013; 31.597314
2023-01-07 14:55:35.302265; 31.512942
2023-01-07 14:55:36.310947; 32.08032
2023-01-07 14:55:37.311173; 39.725466
2023-01-07 14:55:38.323943; 32.430132
2023-01-07 14:55:39.338590; 31.774827
2023-01-07 14:55:40.344152; 31.555128
2023-01-07 14:55:41.346039; 32.430132
2023-01-07 14:55:42.363741; 31.555128
2023-01-07 14:55:43.368360; 31.42857
2023-01-07 14:55:44.368951; 31.42857
2023-01-07 14:55:45.382589; 32.08032
2023-01-07 14:55:46.399218; 32.430132
2023-01-07 14:55:47.400728; 31.859673
2023-01-07 14:55:48.406572; 31.597314
2023-01-07 14:55:49.411350; 31.6395
2023-01-07 14:55:50.421605; 31.377852
2023-01-07 14:55:51.435872; 32.12298
2023-01-07 14:55:52.442936; 31.512942
2023-01-07 14:55:53.458372; 31.902096
2023-01-07 14:55:54.472990; 31.81725
2023-01-07 14:55:55.490750; 31.81725
2023-01-07 14:55:56.507360; 32.16564
2023-01-07 14:55:57.522265; 31.597314
2023-01-07 14:55:58.526496; 31.555128
2023-01-07 14:55:59.529095; 31.293954
2023-01-07 14:56:00.537699; 31.512942
2023-01-07 14:56:01.544232; 32.78184
2023-01-07 14:56:02.562174; 31.859673
2023-01-07 14:56:03.578512; 31.859673
2023-01-07 14:56:04.595892; 31.6395
2023-01-07 14:56:05.614123; 31.335903
2023-01-07 14:56:06.620906; 32.12298
2023-01-07 14:56:07.637165; 31.597314
2023-01-07 14:56:08.645776; 31.335903
2023-01-07 14:56:09.662446; 31.902096
2023-01-07 14:56:10.680412; 31.944519
2023-01-07 14:56:11.697916; 32.430132
2023-01-07 14:56:12.720414; 31.732404
2023-01-07 14:56:13.738660; 31.470756
2023-01-07 14:56:14.760500; 31.774827
2023-01-07 14:56:15.776360; 31.555128
2023-01-07 14:56:16.787504; 31.774827
2023-01-07 14:56:17.811440; 32.12298
2023-01-07 14:56:18.835505; 31.859673
2023-01-07 14:56:19.856301; 32.387235
2023-01-07 14:56:20.857007; 31.81725
2023-01-07 14:56:21.877018; 37.772586
2023-01-07 14:56:22.895816; 31.902096
2023-01-07 14:56:23.913875; 32.387235
2023-01-07 14:56:24.925007; 30.950304
2023-01-07 14:56:25.936923; 31.859673
2023-01-07 14:56:26.955489; 32.12298
2023-01-07 14:56:27.976795; 31.377852
2023-01-07 14:56:28.992457; 31.293954
2023-01-07 14:56:30.011020; 31.335903
2023-01-07 14:56:31.014055; 31.335903
2023-01-07 14:56:32.021650; 31.335903
2023-01-07 14:56:33.030915; 30.950304
2023-01-07 14:56:34.047046; 31.681686
2023-01-07 14:56:35.052680; 31.944519
